File Name,20161129_5plex_plate1.pcrd,,,,,
Created By User,Aditya,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,11/29/2016 14:44:50 UTC,,,,,
Run Ended,11/29/2016 16:07:13 UTC,,,,,
Sample Vol,10,,,,,
Lid Temp,105,,,,,
Protocol File Name,CFX_2stepAmp.prcl,,,,,
Plate Setup File Name,MPX_830.pltd,,,,,
Base Serial Number,CC004358,,,,,
Optical Head Serial Number,785BR2984,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
H12,Cy5,,Unkn,,24.2916512904055,NaN
A01,FAM,,Unkn-01,SCMPX,23.4998689972182,NaN
A02,FAM,,Unkn-01,SCMPX,24.0575544183057,NaN
A03,FAM,,Unkn-01,SCMPX,23.7534616177844,NaN
A04,FAM,,Unkn-09,,31.581842924551,NaN
A05,FAM,,Unkn-09,,27.7113184569222,NaN
A06,FAM,,Unkn-09,,24.0143817206218,NaN
A07,FAM,,Unkn-17,,25.56547713175,NaN
A08,FAM,,Unkn-17,,24.7969066410429,NaN
A09,FAM,,Unkn-17,,25.7512390860336,NaN
A10,FAM,,Unkn-25,,25.4028232831718,NaN
A11,FAM,,Unkn-25,,25.3455272293088,NaN
A12,FAM,,Unkn-25,,24.0644876904,NaN
B01,FAM,,Unkn-02,SCMPX,25.9584168845265,NaN
B02,FAM,,Unkn-02,SCMPX,25.852119317042,NaN
B03,FAM,,Unkn-02,SCMPX,25.5814413449727,NaN
B04,FAM,,Unkn-10,,32.8516948128585,NaN
B05,FAM,,Unkn-10,,28.4227629087809,NaN
B06,FAM,,Unkn-10,,25.0847730883012,NaN
B07,FAM,,Unkn-18,,25.3154526557596,NaN
B08,FAM,,Unkn-18,,24.8241506780466,NaN
B09,FAM,,Unkn-18,,24.8388699027675,NaN
B10,FAM,,Unkn-26,,25.1110212699185,NaN
B11,FAM,,Unkn-26,,24.9923975383601,NaN
B12,FAM,,Unkn-26,,24.5225014654524,NaN
C01,FAM,,Unkn-03,SCMPX,28.092863967687,NaN
C02,FAM,,Unkn-03,SCMPX,27.9732568706,NaN
C03,FAM,,Unkn-03,SCMPX,28.0504761347543,NaN
C04,FAM,,Unkn-11,,32.5609901318919,NaN
C05,FAM,,Unkn-11,,28.2035703026847,NaN
C06,FAM,,Unkn-11,,25.3966650197428,NaN
C07,FAM,,Unkn-19,,25.6178325892773,NaN
C08,FAM,,Unkn-19,,25.16119066235,NaN
C09,FAM,,Unkn-19,,25.3306270021238,NaN
C10,FAM,,Unkn-27,,24.4643167340423,NaN
C11,FAM,,Unkn-27,,24.2786583840039,NaN
C12,FAM,,Unkn-27,,26.0982573580324,NaN
D01,FAM,,Unkn-04,SCMPX,30.3679713620604,NaN
D02,FAM,,Unkn-04,SCMPX,30.3448039105978,NaN
D03,FAM,,Unkn-04,SCMPX,30.9272196847783,NaN
D04,FAM,,Unkn-12,,33.8515685807013,NaN
D05,FAM,,Unkn-12,,29.5062378410095,NaN
D06,FAM,,Unkn-12,,25.5834494549575,NaN
D07,FAM,,Unkn-20,,26.1784587531762,NaN
D08,FAM,,Unkn,,25.4256903104036,NaN
D09,FAM,,Unkn-20,,26.487119748778,NaN
D10,FAM,,Unkn-28,,25.8684744645708,NaN
D11,FAM,,Unkn-28,,25.8779183768114,NaN
D12,FAM,,Unkn-28,,25.9385602738814,NaN
E01,FAM,,Unkn-05,SCMPX,34.2649111283245,NaN
E02,FAM,,Unkn-05,SCMPX,33.2628002129154,NaN
E03,FAM,,Unkn-05,SCMPX,35.2229987591518,NaN
E04,FAM,,Unkn-13,,33.4806439030029,NaN
E05,FAM,,Unkn-13,,29.4668320054428,NaN
E06,FAM,,Unkn-13,,26.1365830991938,NaN
E07,FAM,,Unkn-21,,25.1067994323218,NaN
E08,FAM,,Unkn-21,,25.1783227268639,NaN
E09,FAM,,Unkn-21,,25.3390808561647,NaN
E10,FAM,,Unkn-29,,25.1092872879557,NaN
E11,FAM,,Unkn-29,,26.844058998922,NaN
E12,FAM,,Unkn-29,,26.0717188446417,NaN
F01,FAM,,Unkn-06,SCMPX,36.2016663176923,NaN
F02,FAM,,Unkn-06,SCMPX,38.0905823321944,NaN
F03,FAM,,Unkn-06,SCMPX,35.7369063153222,NaN
F04,FAM,,Unkn-14,,32.7543856038385,NaN
F05,FAM,,Unkn-14,,29.7172609054589,NaN
F06,FAM,,Unkn-14,,29.0533037943457,NaN
F07,FAM,,Unkn-22,,25.4966795037191,NaN
F08,FAM,,Unkn-22,,25.2874953493268,NaN
F09,FAM,,Unkn-22,,25.931108458899,NaN
F10,FAM,,Unkn-30,,24.7734887151041,NaN
F11,FAM,,Unkn-30,,25.3888419245282,NaN
F12,FAM,,Unkn-30,,24.9699259824582,NaN
G01,FAM,,Unkn-07,SCMPX,NaN,NaN
G02,FAM,,Unkn-07,SCMPX,NaN,NaN
G03,FAM,,Unkn-07,SCMPX,NaN,NaN
G04,FAM,,Unkn-15,,33.3275877293517,NaN
G05,FAM,,Unkn-15,,30.3153115188205,NaN
G06,FAM,,Unkn-15,,25.4910920809134,NaN
G07,FAM,,Unkn-23,,26.278762397007,NaN
G08,FAM,,Unkn-23,,26.5925881985125,NaN
G09,FAM,,Unkn-23,,26.4420494869921,NaN
G10,FAM,,Unkn-31,,26.1143674419329,NaN
G11,FAM,,Unkn-31,,26.0357234430576,NaN
